timestamp,open,high,low,close,volume,prev_day_percent_change
1999-11-01,107.5,107.6,106.5,106.5,559800,
1999-11-02,107.0,107.7,105.7,105.7,975300,
1999-11-03,106.8,106.8,105.8,106.2,1025500,-0.7511737089201851
1999-11-04,107.0,107.4,106.1,106.6,578600,0.47303689687795647
1999-11-05,108.0,108.3,106.9,107.5,1139100,0.37664783427494486
1999-11-08,106.4,107.6,106.4,107.4,628600,0.8442776735459716
1999-11-09,107.9,107.9,106.0,106.3,668000,-0.0930232558139482
1999-11-10,105.6,106.8,105.4,106.0,825600,-1.0242085661080154
1999-11-11,106.3,106.6,105.6,106.1,727400,-0.2822201317027255
1999-11-12,107.0,108.1,105.5,108.1,818200,0.09433962264150407
1999-11-15,107.9,108.2,107.3,107.8,573400,1.8850141376060323
1999-11-16,108.4,110.0,107.6,109.9,1382000,-0.27752081406105195
1999-11-17,109.4,109.7,109.0,109.2,433900,1.948051948051956
1999-11-18,109.9,110.7,109.6,110.5,645300,-0.6369426751592382
1999-11-19,109.9,110.5,109.6,110.0,327800,1.1904761904761878
1999-11-22,110.0,111.2,109.8,111.1,324000,-0.4524886877828055
1999-11-23,111.2,111.2,109.8,110.1,362000,0.9999999999999948
1999-11-24,109.6,110.5,109.5,110.1,251600,-0.9000900090009001
1999-11-26,110.7,110.7,109.4,109.4,165100,0.0
1999-11-29,109.6,109.9,109.0,109.5,390700,-0.6357856494096173
1999-11-30,109.5,110.5,108.2,108.7,620000,0.09140767824496737
1999-12-01,108.7,110.1,108.7,110.1,435500,-0.7305936073059335
1999-12-02,110.2,110.8,110.1,110.6,266100,1.2879484820607097
1999-12-03,111.8,113.4,111.8,113.0,862700,0.4541326067211626
1999-12-06,113.0,113.1,112.0,112.3,304000,2.169981916817365
1999-12-07,112.6,112.8,111.2,111.2,505300,-0.6194690265486751
1999-12-08,111.0,111.9,110.5,110.5,454800,-0.9795191451469228
1999-12-09,111.5,112.2,110.5,111.4,832800,-0.6294964028777004
1999-12-10,112.2,113.0,111.2,112.5,472000,0.8144796380090549
1999-12-13,111.7,112.7,111.6,112.2,570900,0.9874326750448782
1999-12-14,111.6,112.6,111.5,111.8,536300,-0.26666666666666416
1999-12-15,111.4,112.9,111.3,112.3,465700,-0.3565062388591851
1999-12-16,112.7,112.7,111.4,112.4,623500,0.4472271914132379
1999-12-17,112.8,114.0,112.8,112.8,472700,0.08904719501336468
1999-12-20,113.3,113.3,111.1,111.4,521700,0.35587188612098886
1999-12-21,111.1,112.7,110.9,112.1,773700,-1.241134751773042
1999-12-22,112.3,112.7,111.9,112.2,407800,0.6283662477558246
1999-12-23,113.0,114.5,113.0,114.5,524600,0.08920606601249646
1999-12-27,114.6,114.9,113.9,114.1,450400,2.0499108734402824
1999-12-28,113.8,115.3,113.8,115.1,769600,-0.34934497816594384
1999-12-29,115.5,115.6,114.7,114.9,273900,0.8764241893076249
1999-12-30,115.5,115.7,114.4,114.5,494700,-0.17376194613378682
1999-12-31,114.7,115.6,114.4,115.2,549000,-0.3481288076588387
2000-01-03,116.03,116.03,113.0,113.5,1278800,0.6113537117903955
2000-01-04,112.3,113.0,109.8,109.8,1535700,-1.4756944444444469
2000-01-05,110.0,112.0,109.0,111.8,2007000,-3.25991189427313
2000-01-06,111.4,113.2,111.2,111.8,2639500,1.8214936247723135
2000-01-07,113.3,115.6,113.2,115.5,3767400,0.0
2000-01-10,116.8,116.8,115.4,116.0,762900,3.3094812164579634
2000-01-11,115.2,116.8,115.0,115.1,1658700,0.4329004329004329
2000-01-12,115.5,116.2,115.2,115.4,813300,-0.7758620689655221
2000-01-13,116.0,116.6,115.2,115.9,1192200,0.2606429192007049
2000-01-14,117.5,117.5,116.1,117.5,1935500,0.43327556325823224
2000-01-18,116.4,116.9,115.5,115.7,656500,1.3805004314063798
2000-01-19,115.6,115.8,114.6,115.6,1003400,-1.531914893617019
2000-01-20,115.9,116.0,112.7,113.7,887000,-0.08643042350908256
2000-01-21,114.2,114.2,112.3,112.8,783200,-1.6435986159169476
2000-01-24,113.3,113.6,109.1,110.0,2066100,-0.7915567282321949
2000-01-25,110.6,110.9,108.8,110.3,1728200,-2.482269503546097
2000-01-26,110.2,111.4,110.1,110.5,1001400,0.27272727272727015
2000-01-27,111.1,111.6,109.2,110.5,853900,0.1813236627379899
2000-01-28,109.8,110.1,107.1,107.4,1253300,0.0
2000-01-31,107.1,109.6,107.0,109.5,996600,-2.8054298642533886
2000-02-01,109.6,110.7,109.0,110.3,786500,1.955307262569827
2000-02-02,110.4,111.2,109.7,109.7,618100,0.7305936073059335
2000-02-03,110.6,110.7,108.2,110.5,863300,-0.5439709882139568
2000-02-04,110.4,111.0,109.3,109.8,474000,0.7292616226071077
2000-02-07,109.2,109.5,108.4,108.8,718900,-0.6334841628959302
2000-02-08,109.9,110.3,109.1,109.3,993100,-0.9107468123861567
2000-02-09,109.2,109.4,106.8,106.9,819900,0.4595588235294118
2000-02-10,107.3,107.6,106.0,107.0,1263500,-2.1957913998170095
2000-02-11,106.6,106.6,103.6,104.5,2148400,0.09354536950420422
2000-02-14,105.0,105.6,104.6,105.5,1300800,-2.336448598130841
2000-02-15,105.6,107.9,105.0,107.4,1360000,0.9569377990430622
2000-02-16,106.9,107.7,105.8,106.0,725800,1.8009478672985837
2000-02-17,106.8,106.9,104.7,104.8,1164100,-1.3035381750465602
2000-02-18,105.0,105.0,102.0,102.3,1526700,-1.1320754716981158
2000-02-22,102.9,103.5,101.0,102.8,1518800,-2.385496183206107
2000-02-23,103.0,103.5,101.6,102.3,1558900,0.4887585532746823
2000-02-24,102.6,102.7,99.56,102.0,4518700,-0.48638132295719844
2000-02-25,100.6,101.5,98.19,98.56,3316900,-0.2932551319648066
2000-02-28,99.19,101.6,98.25,100.1,3068300,-3.372549019607841
2000-02-29,101.2,102.1,100.4,101.6,1205000,1.5624999999999918
2000-03-01,101.8,102.8,100.7,101.6,1136200,1.4985014985014986
2000-03-02,101.5,102.3,101.0,101.7,576000,0.0
2000-03-03,103.3,104.5,103.0,103.9,1678200,0.09842519685040209
2000-03-06,103.8,104.0,101.1,101.7,1220500,2.1632251720747324
2000-03-07,101.5,101.5,97.53,98.0,3745500,-2.117420596727625
2000-03-08,98.75,99.38,97.16,98.47,2618900,-3.6381514257620475
2000-03-09,98.84,100.4,97.31,100.3,1715100,0.4795918367346927
2000-03-10,99.91,101.1,98.97,99.56,1352600,1.858434040824615
2000-03-13,96.84,100.2,96.84,99.63,1506500,-0.7377866400797556
2000-03-14,100.3,100.7,98.0,98.47,854300,0.07030936118922577
2000-03-15,98.63,102.0,97.66,101.6,2040200,-1.1643079393756866
2000-03-16,102.6,106.9,102.4,106.8,4857700,3.1786330862191488
2000-03-17,106.0,107.7,105.7,106.1,3710500,5.118110236220476
2000-03-20,106.3,107.3,105.9,106.8,1812000,-0.6554307116104895
2000-03-21,106.6,109.2,105.9,109.1,2310300,0.6597549481621139
2000-03-22,109.2,109.3,107.8,108.6,2434800,2.1535580524344544
2000-03-23,108.4,111.5,108.3,111.1,1894400,-0.458295142071494
2000-03-24,110.5,112.5,110.3,111.1,1903400,2.3020257826887662
2000-03-27,111.3,111.9,109.7,109.8,1431300,0.0
2000-03-28,109.1,111.0,109.1,109.4,1575100,-1.1701170117011677
2000-03-29,109.8,111.2,108.9,110.8,1426600,-0.3642987249544549
2000-03-30,109.9,111.5,108.9,110.1,3573300,1.2797074954296082
2000-03-31,110.8,111.3,109.1,109.4,1103400,-0.6317689530685946
2000-04-03,109.3,112.7,109.1,112.7,1411100,-0.6357856494096173
2000-04-04,112.6,114.3,106.3,111.7,6635600,3.016453382084092
2000-04-05,110.3,112.3,109.9,110.4,3400700,-0.8873114463176575
