,timestamp,open,high,low,close,volume,percent_change
6388,1999-11-01,107.5,107.6,106.5,106.5,559800,
6387,1999-11-02,107.0,107.7,105.7,105.7,975300,-0.7511737089201831
6386,1999-11-03,106.8,106.8,105.8,106.2,1025500,0.47303689687796524
6385,1999-11-04,107.0,107.4,106.1,106.6,578600,0.37664783427493465
6384,1999-11-05,108.0,108.3,106.9,107.5,1139100,0.8442776735459789
6383,1999-11-08,106.4,107.6,106.4,107.4,628600,-0.09302325581395099
6382,1999-11-09,107.9,107.9,106.0,106.3,668000,-1.0242085661080202
6381,1999-11-10,105.6,106.8,105.4,106.0,825600,-0.2822201317027262
6380,1999-11-11,106.3,106.6,105.6,106.1,727400,0.09433962264151496
6379,1999-11-12,107.0,108.1,105.5,108.1,818200,1.8850141376060225
6378,1999-11-15,107.9,108.2,107.3,107.8,573400,-0.27752081406104967
6377,1999-11-16,108.4,110.0,107.6,109.9,1382000,1.9480519480519654
6376,1999-11-17,109.4,109.7,109.0,109.2,433900,-0.6369426751592355
6375,1999-11-18,109.9,110.7,109.6,110.5,645300,1.1904761904761862
6374,1999-11-19,109.9,110.5,109.6,110.0,327800,-0.4524886877828038
6373,1999-11-22,110.0,111.2,109.8,111.1,324000,1.0000000000000009
6372,1999-11-23,111.2,111.2,109.8,110.1,362000,-0.9000900090008979
6371,1999-11-24,109.6,110.5,109.5,110.1,251600,0.0
6370,1999-11-26,110.7,110.7,109.4,109.4,165100,-0.6357856494096148
6369,1999-11-29,109.6,109.9,109.0,109.5,390700,0.0914076782449591
6368,1999-11-30,109.5,110.5,108.2,108.7,620000,-0.7305936073059294
6367,1999-12-01,108.7,110.1,108.7,110.1,435500,1.2879484820607079
6366,1999-12-02,110.2,110.8,110.1,110.6,266100,0.4541326067211582
6365,1999-12-03,111.8,113.4,111.8,113.0,862700,2.169981916817365
6364,1999-12-06,113.0,113.1,112.0,112.3,304000,-0.6194690265486802
6363,1999-12-07,112.6,112.8,111.2,111.2,505300,-0.9795191451469232
6362,1999-12-08,111.0,111.9,110.5,110.5,454800,-0.629496402877705
6361,1999-12-09,111.5,112.2,110.5,111.4,832800,0.8144796380090469
6360,1999-12-10,112.2,113.0,111.2,112.5,472000,0.9874326750448859
6359,1999-12-13,111.7,112.7,111.6,112.2,570900,-0.2666666666666595
6358,1999-12-14,111.6,112.6,111.5,111.8,536300,-0.35650623885918886
6357,1999-12-15,111.4,112.9,111.3,112.3,465700,0.4472271914132353
6356,1999-12-16,112.7,112.7,111.4,112.4,623500,0.08904719501336977
6355,1999-12-17,112.8,114.0,112.8,112.8,472700,0.3558718861209842
6354,1999-12-20,113.3,113.3,111.1,111.4,521700,-1.241134751773043
6353,1999-12-21,111.1,112.7,110.9,112.1,773700,0.6283662477558183
6352,1999-12-22,112.3,112.7,111.9,112.2,407800,0.0892060660125038
6351,1999-12-23,113.0,114.5,113.0,114.5,524600,2.049910873440286
6350,1999-12-27,114.6,114.9,113.9,114.1,450400,-0.3493449781659441
6349,1999-12-28,113.8,115.3,113.8,115.1,769600,0.876424189307623
6348,1999-12-29,115.5,115.6,114.7,114.9,273900,-0.17376194613378804
6347,1999-12-30,115.5,115.7,114.4,114.5,494700,-0.3481288076588429
6346,1999-12-31,114.7,115.6,114.4,115.2,549000,0.6113537117903967
6345,2000-01-03,116.03,116.03,113.0,113.5,1278800,-1.475694444444442
6344,2000-01-04,112.3,113.0,109.8,109.8,1535700,-3.2599118942731264
6343,2000-01-05,110.0,112.0,109.0,111.8,2007000,1.821493624772308
6342,2000-01-06,111.4,113.2,111.2,111.8,2639500,0.0
6341,2000-01-07,113.3,115.6,113.2,115.5,3767400,3.3094812164579546
6340,2000-01-10,116.8,116.8,115.4,116.0,762900,0.43290043290042934
6339,2000-01-11,115.2,116.8,115.0,115.1,1658700,-0.7758620689655271
6338,2000-01-12,115.5,116.2,115.2,115.4,813300,0.26064291920071536
6337,2000-01-13,116.0,116.6,115.2,115.9,1192200,0.4332755632582286
6336,2000-01-14,117.5,117.5,116.1,117.5,1935500,1.380500431406384
6335,2000-01-18,116.4,116.9,115.5,115.7,656500,-1.5319148936170146
6334,2000-01-19,115.6,115.8,114.6,115.6,1003400,-0.08643042350908736
6333,2000-01-20,115.9,116.0,112.7,113.7,887000,-1.6435986159169524
6332,2000-01-21,114.2,114.2,112.3,112.8,783200,-0.79155672823219
6331,2000-01-24,113.3,113.6,109.1,110.0,2066100,-2.4822695035460973
6330,2000-01-25,110.6,110.9,108.8,110.3,1728200,0.27272727272726893
6329,2000-01-26,110.2,111.4,110.1,110.5,1001400,0.18132366273799772
6328,2000-01-27,111.1,111.6,109.2,110.5,853900,0.0
6327,2000-01-28,109.8,110.1,107.1,107.4,1253300,-2.8054298642533837
6326,2000-01-31,107.1,109.6,107.0,109.5,996600,1.9553072625698276
6325,2000-02-01,109.6,110.7,109.0,110.3,786500,0.7305936073059405
6324,2000-02-02,110.4,111.2,109.7,109.7,618100,-0.5439709882139598
6323,2000-02-03,110.6,110.7,108.2,110.5,863300,0.7292616226071136
6322,2000-02-04,110.4,111.0,109.3,109.8,474000,-0.6334841628959254
6321,2000-02-07,109.2,109.5,108.4,108.8,718900,-0.910746812386154
6320,2000-02-08,109.9,110.3,109.1,109.3,993100,0.4595588235294157
6319,2000-02-09,109.2,109.4,106.8,106.9,819900,-2.195791399817004
6318,2000-02-10,107.3,107.6,106.0,107.0,1263500,0.093545369504211
6317,2000-02-11,106.6,106.6,103.6,104.5,2148400,-2.336448598130836
6316,2000-02-14,105.0,105.6,104.6,105.5,1300800,0.9569377990430672
6315,2000-02-15,105.6,107.9,105.0,107.4,1360000,1.8009478672985857
6314,2000-02-16,106.9,107.7,105.8,106.0,725800,-1.3035381750465591
6313,2000-02-17,106.8,106.9,104.7,104.8,1164100,-1.132075471698113
6312,2000-02-18,105.0,105.0,102.0,102.3,1526700,-2.385496183206104
6311,2000-02-22,102.9,103.5,101.0,102.8,1518800,0.4887585532746819
6310,2000-02-23,103.0,103.5,101.6,102.3,1558900,-0.4863813229571967
