,timestamp,open,high,low,close,volume,percent_change
6244,2000-05-26,91.06,91.44,90.63,91.44,37400,
6243,2000-05-30,92.75,94.81,92.75,94.81,28800,3.685476815398081
6242,2000-05-31,95.13,96.38,95.13,95.75,18000,0.991456597405338
6241,2000-06-01,97.11,97.31,97.11,97.31,3500,1.629242819843335
6240,2000-06-02,101.7,102.4,101.7,102.4,14700,5.2307059911622655
6239,2000-06-05,102.1,103.1,101.9,102.0,24200,-0.390625
6238,2000-06-06,103.6,104.8,102.7,103.0,75900,0.9803921568627416
6237,2000-06-07,102.4,103.1,101.4,103.1,65500,0.0970873786407811
6236,2000-06-08,104.3,104.3,102.9,102.9,45700,-0.19398642095052043
6235,2000-06-09,103.9,104.7,103.8,104.7,20800,1.7492711370262315
6234,2000-06-12,105.0,105.0,101.5,101.6,42600,-2.9608404966571245
6233,2000-06-13,101.3,102.9,100.4,102.9,84100,1.279527559055138
6232,2000-06-14,103.7,103.7,102.4,102.4,21600,-0.4859086491739606
6231,2000-06-15,101.8,102.5,100.8,102.5,13400,0.09765625
6230,2000-06-16,102.9,103.0,101.9,101.9,15100,-0.585365853658526
6229,2000-06-19,102.5,104.5,102.0,104.5,29600,2.5515210991167825
6228,2000-06-20,104.7,105.3,104.3,105.2,23500,0.6698564593301537
6227,2000-06-21,104.3,105.9,104.3,105.7,33400,0.47528517110266844
6226,2000-06-22,106.0,106.0,102.5,102.5,69800,-3.0274361400189242
6225,2000-06-23,103.5,103.5,101.0,101.8,117900,-0.6829268292682933
6224,2000-06-26,102.2,103.1,101.8,103.1,46800,1.2770137524557912
6223,2000-06-27,103.2,104.1,101.4,101.4,56400,-1.6488845780795236
6222,2000-06-28,101.9,104.4,101.9,104.0,85300,2.564102564102555
6221,2000-06-29,103.5,103.7,102.1,102.4,106100,-1.538461538461533
6220,2000-06-30,102.4,103.4,101.6,103.4,585900,0.9765625
6219,2000-07-03,103.1,104.8,103.0,104.8,7900,1.3539651837524147
6218,2000-07-05,104.2,104.3,103.3,103.6,69400,-1.1450381679389388
