,timestamp,open,high,low,close,volume,percent_change
5703,2002-07-26,82.67,82.8,82.42,82.51,316300,
5702,2002-07-29,82.06,82.16,81.32,81.42,8400,-1.3210519936977416
5701,2002-07-30,81.75,81.9,81.52,81.52,6100,0.1228199459592183
5700,2002-07-31,81.95,82.8,81.9,82.53,29400,1.2389597644749895
5699,2002-08-01,82.54,83.02,82.54,83.0,25000,0.5694898824669892
5698,2002-08-02,83.16,84.1,82.88,83.85,52800,1.0240963855421725
5697,2002-08-05,84.04,84.44,83.85,84.22,61100,0.4412641621944102
5696,2002-08-06,83.8,83.9,83.22,83.5,64900,-0.8549038233198747
5695,2002-08-07,83.6,84.14,83.36,83.7,40300,0.23952095808383866
5694,2002-08-08,83.58,83.77,83.36,83.7,40900,0.0
5693,2002-08-09,84.0,84.88,84.0,84.88,35900,1.4097968936678473
5692,2002-08-12,85.3,86.7,85.14,85.4,32100,0.6126295947219695
5691,2002-08-13,85.78,86.47,85.37,86.45,75400,1.2295081967213184
5690,2002-08-14,87.46,87.9,86.75,86.78,130000,0.38172353961827277
5689,2002-08-15,86.38,86.5,85.85,86.02,87100,-0.875777828992863
5688,2002-08-16,86.44,86.52,84.82,85.06,85000,-1.116019530341772
5687,2002-08-19,85.05,85.34,84.71,85.32,47300,0.30566658829060955
5686,2002-08-20,85.62,86.29,85.6,86.27,40800,1.1134552273792897
5685,2002-08-21,85.68,86.1,85.63,85.81,40000,-0.533209690506542
5684,2002-08-22,85.55,85.55,85.06,85.06,34400,-0.8740240065260418
5683,2002-08-23,85.2,85.95,85.2,85.9,20100,0.9875382083235351
5682,2002-08-26,85.7,86.21,85.67,85.98,23900,0.09313154831198656
5681,2002-08-27,85.4,85.68,85.2,85.44,301800,-0.6280530355896818
5680,2002-08-28,86.04,86.18,85.84,85.87,18100,0.5032771535580682
5679,2002-08-29,86.76,86.86,86.35,86.56,135700,0.8035402352393195
5678,2002-08-30,86.75,87.13,86.45,87.08,78100,0.600739371534198
5677,2002-09-03,87.08,88.04,87.0,88.04,102100,1.1024345429490268
5676,2002-09-04,88.03,88.3,87.84,88.02,66300,-0.022716946842360475
5675,2002-09-05,88.57,88.65,87.38,88.5,648400,0.5453306066802943
5674,2002-09-06,87.97,88.19,87.2,87.46,140000,-1.1751412429378605
5673,2002-09-09,87.5,87.83,87.26,87.33,83800,-0.1486393780013695
5672,2002-09-10,87.17,88.0,87.0,87.75,336000,0.4809343868086513
5671,2002-09-11,87.0,87.3,86.75,87.29,177700,-0.5242165242165142
5670,2002-09-12,87.48,88.14,87.47,87.97,43400,0.7790124871119186
5669,2002-09-13,88.33,88.94,88.18,88.78,155100,0.9207684437876562
5668,2002-09-16,89.2,89.22,88.9,88.93,73000,0.16895697229106776
5667,2002-09-17,88.64,89.32,88.36,89.1,75400,0.19116158776564252
5666,2002-09-18,89.46,89.56,89.02,89.12,196600,0.022446689113375662
5665,2002-09-19,89.7,89.77,89.26,89.72,109900,0.6732495511669656
5664,2002-09-20,89.45,89.52,89.06,89.3,113500,-0.4681230494873012
5663,2002-09-23,90.0,90.24,89.77,90.1,163200,0.8958566629339249
5662,2002-09-24,90.3,90.94,90.21,90.68,251900,0.643729189789144
5661,2002-09-25,90.1,90.36,89.26,89.58,127200,-1.21305690339657
5660,2002-09-26,89.05,89.53,88.61,89.37,429000,-0.23442732752846362
5659,2002-09-27,89.53,90.04,89.48,90.04,298200,0.7496922904777881
5658,2002-09-30,90.66,90.9,90.08,90.4,297800,0.3998223011994595
5657,2002-10-01,89.16,89.3,88.8,88.94,257500,-1.6150442477876226
5656,2002-10-02,89.24,89.48,88.84,89.45,91000,0.5734202833370894
5655,2002-10-03,89.3,89.51,88.8,89.23,29900,-0.24594745667970708
5654,2002-10-04,88.4,89.72,88.4,89.51,131000,0.31379580858454936
5653,2002-10-07,89.9,89.96,89.46,89.66,433800,0.16757904144786284
5652,2002-10-08,89.5,90.52,89.32,89.69,530900,0.03345973678341441
5651,2002-10-09,90.3,90.38,89.95,90.15,402900,0.5128776898205123
5650,2002-10-10,90.17,90.17,89.28,89.44,97100,-0.7875762617859161
5649,2002-10-11,89.1,89.22,88.06,88.38,421800,-1.1851520572450869
5648,2002-10-14,88.5,88.55,88.07,88.25,18300,-0.14709210228558423
5647,2002-10-15,87.0,87.3,86.15,86.16,297100,-2.368271954674228
5646,2002-10-16,86.6,86.6,85.89,86.2,125200,0.046425255338911064
5645,2002-10-17,85.14,85.56,85.07,85.15,233400,-1.2180974477958184
5644,2002-10-18,85.02,85.39,84.28,85.37,459100,0.2583675866118629
5643,2002-10-21,85.5,85.6,84.5,84.54,134900,-0.9722384912732807
5642,2002-10-22,84.85,84.85,84.22,84.3,205000,-0.2838892831795725
5641,2002-10-23,84.75,85.2,84.18,84.33,127800,0.0355871886120962
5640,2002-10-24,84.16,85.25,84.08,85.07,339600,0.8775050397248796
5639,2002-10-25,85.35,85.56,85.15,85.38,146100,0.36440578347243235
5638,2002-10-28,85.56,85.64,85.2,85.26,97800,-0.14054813773716202
5637,2002-10-29,85.82,86.89,85.77,86.37,125000,1.3019000703729855
5636,2002-10-30,86.37,86.68,86.07,86.34,31900,-0.03473428273705892
5635,2002-10-31,86.05,86.86,86.02,86.73,512700,0.4517025712300171
5634,2002-11-01,86.3,86.93,85.25,85.98,125100,-0.864752680733305
5633,2002-11-04,85.48,85.75,85.25,85.6,342500,-0.4419632472668189
5632,2002-11-05,85.6,85.6,85.09,85.27,73800,-0.38551401869159063
5631,2002-11-06,85.05,86.13,84.91,85.61,118500,0.3987334349712768
5630,2002-11-07,87.05,87.73,86.85,87.73,147900,2.476346221235848
5629,2002-11-08,88.4,88.65,87.95,88.44,294700,0.8093012652456322
5628,2002-11-11,88.55,88.92,88.4,88.92,70000,0.5427408412483015
5627,2002-11-12,89.15,89.15,88.37,88.41,494300,-0.5735492577597867
5626,2002-11-13,88.45,88.69,87.96,88.6,104700,0.21490781585793428
5625,2002-11-14,87.65,87.65,86.76,86.76,118000,-2.0767494356659033
5624,2002-11-15,86.54,87.23,86.26,87.11,110700,0.40341171046565094
5623,2002-11-18,87.02,87.63,86.96,87.5,32200,0.4477097922167328
5622,2002-11-19,87.95,88.23,87.51,87.82,51800,0.36571428571428033
5621,2002-11-20,88.2,88.22,86.81,86.96,307400,-0.9792757913914873
5620,2002-11-21,86.5,86.5,85.86,86.12,323200,-0.9659613615455309
5619,2002-11-22,86.33,86.39,85.88,86.04,184800,-0.09289363678587348
5618,2002-11-25,86.0,86.38,85.8,85.88,288200,-0.18596001859600975
5617,2002-11-26,86.2,87.02,86.15,86.96,377800,1.257568700512346
5616,2002-11-27,86.25,86.33,84.96,85.0,325600,-2.25390984360625
5615,2002-11-29,85.16,85.63,85.14,85.55,31700,0.6470588235294006
5614,2002-12-02,84.36,85.4,84.15,85.24,284900,-0.362361192285221
5613,2002-12-03,85.7,85.7,85.12,85.36,113800,0.1407789770061063
5612,2002-12-04,85.9,86.0,85.55,85.8,129000,0.5154639175257714
5611,2002-12-05,85.28,86.28,85.26,86.02,206400,0.2564102564102555
5610,2002-12-06,87.0,87.09,85.76,86.17,440500,0.1743780516159088
5609,2002-12-09,86.2,86.85,86.17,86.65,400300,0.5570384124405248
5608,2002-12-10,86.61,86.93,86.5,86.88,151600,0.26543566070396096
5607,2002-12-11,87.15,87.65,86.96,87.46,163800,0.6675874769797474
5606,2002-12-12,87.06,87.6,87.06,87.38,135800,-0.09147038646237782
5605,2002-12-13,87.14,87.16,86.53,86.53,425800,-0.9727626459143934
5604,2002-12-16,86.9,86.9,85.84,85.88,115700,-0.7511845602681255
5603,2002-12-17,86.3,86.35,85.68,85.88,290600,0.0
5602,2002-12-18,86.48,86.69,86.25,86.55,191000,0.7801583605030249
5601,2002-12-19,86.8,87.49,86.65,87.32,134400,0.889659156556899
5600,2002-12-20,87.23,87.56,87.15,87.38,41900,0.06871278057718477
5599,2002-12-23,87.36,87.4,86.25,87.4,74200,0.022888532845066756
5598,2002-12-24,88.0,88.08,87.84,87.89,46600,0.5606407322654494
5597,2002-12-26,87.9,88.06,87.73,88.06,13500,0.19342359767891004
5596,2002-12-27,88.55,89.03,88.28,89.03,140200,1.1015216897569902
5595,2002-12-30,88.9,89.24,88.63,89.24,274900,0.2358755475682317
5594,2002-12-31,88.95,89.33,88.32,88.57,109400,-0.7507844016136245
5593,2003-01-02,87.7,87.9,86.21,86.28,192100,-2.585525572993108
5592,2003-01-03,86.15,86.54,85.83,86.48,311200,0.23180343069078013
5591,2003-01-06,86.17,86.29,85.81,86.25,35600,-0.26595744680851796
5590,2003-01-07,86.19,86.75,86.17,86.56,69800,0.35942028985507246
5589,2003-01-08,86.88,87.14,86.78,86.99,160100,0.49676524953787826
5588,2003-01-09,86.17,86.17,85.02,85.32,237500,-1.9197608920565656
5587,2003-01-10,85.92,85.92,85.12,85.54,145200,0.25785278949836954
5586,2003-01-13,85.54,85.87,85.4,85.68,53300,0.16366612111293755
5585,2003-01-14,86.0,86.28,85.96,85.98,98900,0.3501400560224077
5584,2003-01-15,86.28,86.7,86.2,86.4,129600,0.488485694347518
5583,2003-01-16,86.38,86.6,85.62,86.52,57900,0.1388888888888884
5582,2003-01-17,87.1,87.24,86.93,86.95,97700,0.4969949144706609
5581,2003-01-21,86.88,87.45,86.8,87.45,107500,0.5750431282346202
5580,2003-01-22,87.68,87.9,87.52,87.88,107100,0.4917095483133238
5579,2003-01-23,87.32,87.7,87.3,87.45,110700,-0.4893035958124625
5578,2003-01-24,87.74,88.44,87.74,87.97,285300,0.5946255002858836
5577,2003-01-27,87.9,88.04,87.5,87.65,150500,-0.36376037285437146
5576,2003-01-28,87.65,87.78,87.1,87.65,454700,0.0
5575,2003-01-29,87.65,87.78,87.1,87.65,221400,0.0
5574,2003-01-30,87.2,87.9,87.1,87.82,108600,0.1939532230461838
5573,2003-01-31,87.9,88.21,87.54,88.06,182300,0.27328626736506934
5572,2003-02-03,87.67,87.91,87.31,87.88,55200,-0.2044060867590347
5571,2003-02-04,88.37,88.4,88.11,88.27,56900,0.4437869822485174
5570,2003-02-05,88.23,88.7,87.43,87.51,223300,-0.860994675427651
5569,2003-02-06,87.84,88.26,87.79,88.22,120900,0.8113358473317289
5568,2003-02-07,87.77,88.52,87.63,88.42,247200,0.2267059623668244
5567,2003-02-10,88.12,88.4,87.69,87.8,76600,-0.7011988237955236
5566,2003-02-11,87.6,87.91,87.43,87.78,259100,-0.022779043280174438
5565,2003-02-12,87.8,88.13,87.67,88.09,121300,0.3531556163135052
5564,2003-02-13,88.27,89.18,88.17,88.57,440200,0.5448972641616479
5563,2003-02-14,88.3,88.37,87.61,87.81,829700,-0.8580783561025096
5562,2003-02-18,87.56,87.98,87.34,87.92,213200,0.12527047033368266
5561,2003-02-19,88.39,88.7,88.25,88.52,62100,0.6824385805277444
5560,2003-02-20,88.34,88.9,88.34,88.82,486700,0.33890646181653494
5559,2003-02-21,88.56,88.72,88.21,88.3,250400,-0.585453726638141
5558,2003-02-24,88.88,88.9,88.62,88.72,168200,0.4756511891279791
5557,2003-02-25,89.4,89.65,89.0,89.13,358500,0.46212804328222834
5556,2003-02-26,89.38,89.75,89.15,89.75,334000,0.6956131493324413
5555,2003-02-27,89.46,89.99,89.31,89.9,695700,0.16713091922007095
5554,2003-02-28,89.68,90.54,89.58,90.47,213100,0.6340378197997598
5553,2003-03-03,90.0,90.45,89.91,90.24,204100,-0.2542279208577525
5552,2003-03-04,90.13,90.45,90.02,90.3,83100,0.06648936170212671
5551,2003-03-05,90.62,90.63,90.04,90.6,126000,0.33222591362125353
5550,2003-03-06,90.55,90.68,90.06,90.25,166000,-0.3863134657836609
5549,2003-03-07,90.72,90.79,90.05,90.56,263800,0.34349030470914865
5548,2003-03-10,90.81,91.03,90.68,91.03,147200,0.5189929328621945
5547,2003-03-11,90.99,91.16,90.73,90.87,82800,-0.17576623091287713
5546,2003-03-12,90.92,91.36,90.88,91.2,454800,0.36315615714757055
5545,2003-03-13,90.15,90.39,89.52,89.52,830200,-1.8421052631579005
5544,2003-03-14,89.9,90.12,89.62,89.96,590900,0.49151027703306926
5543,2003-03-17,90.52,90.52,88.86,88.88,724400,-1.2005335704757703
5542,2003-03-18,88.96,89.2,88.01,88.04,415200,-0.9450945094509278
5541,2003-03-19,88.04,88.07,87.33,87.39,398400,-0.7383007723761992
5540,2003-03-20,87.82,87.95,86.76,87.25,206700,-0.1602013960407378
5539,2003-03-21,86.92,87.05,86.05,86.05,843400,-1.3753581661891112
5538,2003-03-24,87.1,87.6,86.85,87.41,373800,1.5804764671702554
5537,2003-03-25,87.65,87.82,86.9,87.31,606400,-0.11440338634023384
5536,2003-03-26,87.25,87.65,87.25,87.49,309500,0.20616195166647255
5535,2003-03-27,87.75,87.87,87.33,87.55,191600,0.0685792662018514
5534,2003-03-28,87.92,88.08,87.72,87.75,253400,0.22844089091946795
5533,2003-03-31,88.3,88.93,88.3,88.9,643800,1.3105413105413133
5532,2003-04-01,88.4,88.79,87.9,88.27,289800,-0.7086614173228423
5531,2003-04-02,87.65,87.7,87.28,87.35,312200,-1.0422567123598125
5530,2003-04-03,87.25,87.58,87.14,87.3,245600,-0.05724098454492621
5529,2003-04-04,87.06,87.3,86.88,87.05,184900,-0.286368843069873
5528,2003-04-07,86.22,86.86,85.92,86.85,485400,-0.22975301550832716
5527,2003-04-08,87.05,87.59,86.99,87.55,194700,0.8059873344847368
5526,2003-04-09,87.4,87.86,87.17,87.81,102400,0.2969731581953239
5525,2003-04-10,87.75,87.85,87.35,87.4,53300,-0.46691720760733135
5524,2003-04-11,86.82,87.32,86.59,87.26,450000,-0.16018306636155222
5523,2003-04-14,87.1,87.11,86.71,87.02,207100,-0.275040110016056
5522,2003-04-15,87.33,87.53,87.04,87.49,128500,0.5401057228223483
5521,2003-04-16,87.53,87.9,87.47,87.85,97700,0.4114755972111084
5520,2003-04-17,88.24,88.4,87.8,87.99,106200,0.1593625498008011
5519,2003-04-21,87.48,87.83,87.26,87.8,148000,-0.21593362882145195
5518,2003-04-22,88.15,88.26,87.62,87.75,299900,-0.05694760820045275
5517,2003-04-23,87.78,88.01,87.6,87.93,42700,0.20512820512821328
5516,2003-04-24,88.4,88.99,88.4,88.72,199000,0.8984419424542089
5515,2003-04-25,88.75,89.1,88.68,88.92,529700,0.22542831379621653
5514,2003-04-28,89.09,89.09,88.78,88.78,80500,-0.15744489428699548
5513,2003-04-29,88.53,88.77,88.32,88.63,177500,-0.16895697229106776
5512,2003-04-30,88.79,89.52,88.72,89.45,293400,0.925194629358006
5511,2003-05-01,89.2,89.6,88.8,89.02,231200,-0.4807154835103522
5510,2003-05-02,89.06,89.07,88.27,88.32,231500,-0.7863401482812837
5509,2003-05-05,88.54,88.87,88.2,88.79,77700,0.5321557971014634
5508,2003-05-06,88.84,89.4,88.52,89.23,260600,0.49555130082217236
5507,2003-05-07,90.0,90.33,89.82,90.27,306900,1.1655272890283452
5506,2003-05-08,90.6,90.9,90.28,90.49,437400,0.24371330453085704
