,timestamp,open,high,low,close,volume,percent_change
4213,2008-06-26,49.51,49.99,49.34,49.58,15800,
4212,2008-06-27,49.41,51.45,49.26,49.5,26800,-0.16135538523598392
4211,2008-06-30,49.5,51.72,49.36,49.54,23900,0.08080808080808133
4210,2008-07-01,49.0,49.6,47.74,49.1,55100,-0.8881711748082277
4209,2008-07-02,49.6,49.69,48.38,48.38,74700,-1.4663951120162944
4208,2008-07-03,48.54,48.81,48.06,48.51,17600,0.26870607689126746
4207,2008-07-07,48.7,48.8,47.8,48.41,55500,-0.20614306328592402
4206,2008-07-08,47.8,48.56,47.1701,48.5,54300,0.18591200165256616
4205,2008-07-09,48.75,49.39,47.9,47.94,28900,-1.1546391752577323
4204,2008-07-10,47.79,48.31,47.6,47.863,20800,-0.16061743846473853
4203,2008-07-11,47.19,48.25,47.1899,47.65,22500,-0.44502016171155123
4202,2008-07-14,48.8,48.8,47.28,47.49,37900,-0.33578174186778
4201,2008-07-15,47.0,47.435,46.3399,46.76,24800,-1.5371657190987653
4200,2008-07-16,47.28,47.72,46.59,47.72,23700,2.0530367835757124
4199,2008-07-17,48.31,48.52,47.8399,48.334,26000,1.2866722548197984
4198,2008-07-18,48.15,48.55,47.66,48.276,18300,-0.11999834485041383
4197,2008-07-21,48.89,48.89,48.28,48.43,18200,0.3189990885740235
4196,2008-07-22,48.12,48.7,47.98,48.7,29300,0.5575056782985754
4195,2008-07-23,49.21,49.47,48.9401,49.08,47200,0.7802874743326305
4194,2008-07-24,48.94,48.98,47.98,48.0,39900,-2.2004889975550057
4193,2008-07-25,48.21,48.21,47.92,48.21,9000,0.4375000000000018
4192,2008-07-28,48.15,48.5,46.01,47.44,71800,-1.597179008504468
4191,2008-07-29,47.6,47.9,47.44,47.9,19700,0.9696458684654408
4190,2008-07-30,48.72,48.7201,48.3001,48.7,33400,1.6701461377870652
4189,2008-07-31,48.63,48.84,48.2,48.21,14800,-1.0061601642710527
4188,2008-08-01,48.5,50.02,47.75,47.93,46500,-0.5807923667288994
4187,2008-08-04,47.25,48.57,47.23,47.23,27300,-1.4604631754642217
